"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"6139b6b6-2ab3-43f4-bae5-e1bfae3203f9","cts-import.tei.xml","Ὀλύμπιος","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/q[13]/l[11]::26;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/q[13]/l[11]::34","PLACE","http://pleiades.stoa.org/places/491677","Olympus/Hadrianopolis|Olympos (mountain in Greece)|Olympus Mons, Mount Olympos|Olympus/Hadrianopolis, Deliktaş","-0750/0640","40.0862269","22.3584897","mountain,settlement","VERIFIED","","","",""
"000575c3-d456-4adf-8beb-34d71f27b8e5","cts-import.tei.xml","Ὀδυσσῆα","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[40]::6;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[40]::13","PERSON","","","","","","","","https://en.wikipedia.org/wiki/Odysseus","","",""
"5c27c66e-29ca-4f56-b01a-c642a06602ba","cts-import.tei.xml","Ἀθήνη","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[43]::36;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[43]::41","PERSON","","","","","","","","https://en.wikipedia.org/wiki/Athena","","",""
"67d6ace9-f480-4560-a492-3d12424085e1","cts-import.tei.xml","Ἥφαιστος","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[47]::10;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[47]::18","PERSON","","","","","","","","https://en.wikipedia.org/wiki/Hephaestus","","",""
"2b8e0eb7-65bd-4a30-b9eb-dcd60af0fa58","cts-import.tei.xml","Ἀθήνη","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[47]::37;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[47]::42","PERSON","","","","","","","","https://en.wikipedia.org/wiki/Athena","","",""
"fdb4c12a-aadd-4cd8-82a3-9ca7265104e3","cts-import.tei.xml","Ὀλύμπια","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/q[15]/l[2]::21;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/q[15]/l[2]::28","PLACE","http://pleiades.stoa.org/places/491677","Olympus/Hadrianopolis|Olympos (mountain in Greece)|Olympus Mons, Mount Olympos|Olympus/Hadrianopolis, Deliktaş","-0750/0640","40.0862269","22.3584897","mountain,settlement","VERIFIED","","","",""
"a391c607-712c-4c62-8f3d-f5dfe658f1e7","cts-import.tei.xml","Πηνελόπεια","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[53]::31;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[53]::41","PERSON","","","","","","","","https://en.wikipedia.org/wiki/Penelope","","",""
"9239bec6-cbcf-4e12-9ae3-06fd6dd857d5","cts-import.tei.xml","Ἰθάκης","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/q[16]/l[3]::3;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/q[16]/l[3]::9","PLACE","http://pleiades.stoa.org/places/530906","Ithaca Ins.|Ithaca|Ithaca, Ithaca|Ithaca Ins., Ithaca","-0750/0640","38.44193","20.638399","island,settlement","VERIFIED","","","",""
"1bd4b8de-a857-4bcc-b6b9-ae06b5781610","cts-import.tei.xml","Εὐρύκλεια","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/q[16]/l[4]::36;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/q[16]/l[4]::45","PERSON","","","","","","","","https://en.wikipedia.org/wiki/Eurycleia_of_Ithaca","","",""
"436c51ff-8ffe-421b-93fa-9c7360887159","cts-import.tei.xml","Ὀδυσσεὺς","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[54]::35;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[54]::43","PERSON","","","","","","","","https://en.wikipedia.org/wiki/Odysseus","","",""
"063005c4-beef-4aad-9bc2-089ed006ca38","cts-import.tei.xml","Ὀδυσσεύς","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[57]::38;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[57]::46","PERSON","","","","","","","","https://en.wikipedia.org/wiki/Odysseus","","",""
"5acea6bd-c76e-448f-bfa8-d9fd9d14fdae","cts-import.tei.xml","Ὀδυσῆϊ","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[59]::12;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[59]::18","PERSON","","","","","","","","https://en.wikipedia.org/wiki/Odysseus","","",""
"0dad8296-0756-4bd3-b00c-cf35e2e4d30d","cts-import.tei.xml","Ὀδυσσεῦ","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/q[18]/l[1]::8;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/q[18]/l[1]::15","PERSON","","","","","","","","https://en.wikipedia.org/wiki/Odysseus","","",""
"29f354fd-6556-46d4-884a-db529b355e56","cts-import.tei.xml","Ἀργείη","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/q[18]/l[10]::9;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/q[18]/l[10]::15","PLACE","http://pleiades.stoa.org/places/570106","Argos|Argos, Argos","-0750/0300","37.631561","22.719464","settlement","VERIFIED","","","",""
"6020750a-1516-4505-a345-656673ba53a6","cts-import.tei.xml","Ἑλένη","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/q[18]/l[10]::16;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/q[18]/l[10]::21","PERSON","","","","","","","","https://en.wikipedia.org/wiki/Helen_of_Troy","","",""
"2749bf2d-e191-474e-8b46-d28664b04c2a","cts-import.tei.xml","Διὸς","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/q[18]/l[10]::23;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/q[18]/l[10]::27","PERSON","","","","","","","","https://en.wikipedia.org/wiki/Zeus","","",""
"041aba70-0c32-4e27-80ca-9fca3751d60a","cts-import.tei.xml","Ἀχαιῶν","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/q[18]/l[12]::31;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/q[18]/l[12]::37","PLACE","http://pleiades.stoa.org/places/570028","Achaea/Achaia (region)","-0750/0300","38.102121472776034","22.224585911364017","region","VERIFIED","","","",""
"f2386e18-967a-4d8b-b704-8c145771ea28","cts-import.tei.xml","Ποσειδάων","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[63]::6;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[63]::15","PERSON","","","","","","","","https://en.wikipedia.org/wiki/Poseidon","","",""
"f6997bb8-1831-46de-a6c8-536b923b679c","cts-import.tei.xml","Ἠώς","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[70]::41;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[70]::44","PERSON","","","","","","","","https://en.wikipedia.org/wiki/Eos","","",""
