"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"b7200c09-6526-41b2-b2e1-c14a9224007f","fgrh.2036.bnjo-1-ed-grc_postner_clean.xml","κόλπου","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/p[4]::197;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/p[4]::203","","","","","","","","","geoname","","",""
"5e57157b-2d52-430f-b49a-ef829012d3fb","fgrh.2036.bnjo-1-ed-grc_postner_clean.xml","σταδίους ὡς εἰς πέλαγος ἔχουσα διακοσίους","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/p[4]::204;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/p[4]::245","","","","","","","","","distance","","",""
"5b1d62ba-1432-4b00-8cd0-7f636c24b137","fgrh.2036.bnjo-1-ed-grc_postner_clean.xml","πέλαγος","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/p[4]::220;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/p[4]::227","","","","","","","","","geoname","","",""
"d73f0298-5929-4d52-bdf9-c2eb83ef7b3a","fgrh.2036.bnjo-1-ed-grc_postner_clean.xml","ἤπειρον","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/p[4]::297;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/p[4]::304","","","","","","","","","geoname","","",""
"f95451d7-6e11-4072-a954-5f48cfe35f0e","fgrh.2036.bnjo-1-ed-grc_postner_clean.xml","γῆς","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/p[4]::356;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/p[4]::359","","","","","","","","","geoname","","",""
"3a3fa6e6-17ca-400f-a673-05ba2a431023","fgrh.2036.bnjo-1-ed-grc_postner_clean.xml","κόλπον","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/p[4]::417;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/p[4]::423","","","","","","","","","geoname","","",""
"09d94110-5359-49ae-a186-ab7f0ea15d50","fgrh.2036.bnjo-1-ed-grc_postner_clean.xml","Διδώρου","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/p[4]::430;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/p[4]::437","PLACE","http://pleiades.stoa.org/places/759556","Diodorou","-0030/0640","","","unlocated","VERIFIED","","uncertain identification. need double-checking with the Micholis-Senoabis area in the Barrington Atlas.|unsure how to access Barrington Atlas; will revisit later","",""
"e1dd197e-852e-4d15-a9c1-486851008695","fgrh.2036.bnjo-1-ed-grc_postner_clean.xml","νήσῳ","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/p[4]::448;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/p[4]::452","","","","","","","","","geoname","","",""
"c24e58df-26bf-4fae-b1bf-67a0fa61c89d","fgrh.2036.bnjo-1-ed-grc_postner_clean.xml","ἤπειρον","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/p[4]::468;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/p[4]::475","","","","","","","","","geoname","","",""
"ed6b8921-9a49-4919-8fdc-c7737aa2d3de","fgrh.2036.bnjo-1-ed-grc_postner_clean.xml","Βάρβαροι","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/p[4]::526;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/p[4]::534","PLACE","http://pleiades.stoa.org/places/39435","Trogodytice","-0030/0300","17.5","37.5","region","VERIFIED","@ana:#collective","","",""
